"Product","Country","Ingredients","Price","Rev_score","Rev_count","Size","Brand"
"Milani Conceal + Perfect 2-in-1 Foundation + Concealer, Light Beige","USA","Water (Aqua), Cyclopentasiloxane, Isononyl Isononanoate, Cetyl PEG/PPG-10/1 Dimethicone, Butylene Glycol, Mica, Glycerin, Bis-PEG/PPG-14/14 Dimethicone, Vp/Eicosene Copolymer, Bis-Vinyl Dimethicone/Dimethicone Copolymer, Ozokerite, Polymethylsilsesquioxane, Disteardimonium Hectorite, Sodium Chloride, Phenoxyethanol, Beeswax (Cera Alba), Glycereth-18 Ethylhexanoate, Potassium Sorbate, Silica, Caprylyl Glycol, 1,2-Henanediol, Xanthan Gum, Isododecane, Propylene Carbonate, Prunus Domestica Fruit Extract, Glycereth-18, Aluminum Dimyristate, Triethoxycaprylylsilane, Disodium Stearoyl Glutamate, Allantoin, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Polyisobutene, C18-21 Alkane, +/- May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499)",NA,4.4,528,1,"Milani"
"Maybelline Instant Pore Eraser Primer","","Aqua (Water), dimethicone, dimethicone crosspolymer, Stearyl Heptanoate, Caprylyl Glycol, Silica Silylate, propylene glycol, Pentaerythrityl Tetraisostearate, Prunus Cerasus Extract (Bitter Cherry Extract), May Contain: Cl 73360 (Red 30), Cl 77492 (Iron Oxides)",6.99,3.6,145,0.67,"Maybelline"
"NYX Professional Makeup Long Lasting Makeup Setting Spray Matte Finish","China","Water/Aqua/Eau, Alcohol, Vp/Va Copolymer, Propylene Glycol, Disodium EDTA, Niacinamide, Sodium Salicylate, Plantago Lanceolata Leaf Extract, Mahonia Aquifolium Extract, Phenoxyethanol",NA,4.5,502,2.03,"NYX"
"No7 Airbrush Away Pore Minimizing Primer","Germany","Cyclopentasiloxane, Dimethicone Crosspolymer, Cyclohexasiloxane, Silica, Nylon 6/12, Glycerin, Butylene Glycol, Titanium Dioxide, Dimethicone, Isohexadecane, PPG-15 Stearyl Ether, PEG/PPG-18/18 Dimethicone, Glyceryl Stearate, PEG-100 Stearate, Triethoxycaprylylsilane, Tocopheryl Acetate, Aqua (Water), BHT",19.99,4.3,216,1.01,"No7"
"CYO Powder Blush Crush On Blush, Tell It Straight","","Talc, Mica, Paraffinum liquidum (Mineral oil), Magnesium stearate, Dimethicone, Sodium benzoate, Sodium dehydroacetate, Alumina, Phenoxyethanol, Aqua (Water), CI 77891 (Titanium dioxide), CI 15850 (Red 7 lake), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",3,5,4,0.17,"CYO"
"CYO Matte Foundation No Shine Zone, 208","Germany","Aqua (Water), Cyclopentasiloxane, Cyclohexasiloxane, Triethoxycaprylylsilane, Disteardimonium hectorite, Phenyl trimethicone, Alcohol denat, Glycerin, Polyamide-5, Cetyl PEG/PPG-10/1 dimethicone, Polyglyceryl-4 isostearate, Hexyl laurate, Pentaerythrityl tetra-di-T-butyl Hydroxyhydrocinnamate, methyl methacrylate crosspolymer, PEG/PPG-19/19 dimethicone, Tocopherol, Magnesium sulfate, Phenoxyethanol, Methylparaben, Ethylparaben, Tocopheryl acetate, Citric acid, May contain, CI 77891 (Titanium dioxide), CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",6,4.7,45,1,"CYO"
"Rimmel Stay Matte Primer","","Aqua/Water/Eau, Cyclopentasiloxane, Talc, Cetyl PEG/PPG-10/1 Dimethicone, Aluminum Starch Octenylsuccinate, Propylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Isononyl Isononanoate, Polypropylene, Silica, Silica Dimethyl Silylate, Disteardimonium Hectorite, Magnesium Sulfate, Bis-PEG/PPG-14/14 Dimethicone, Glycerin, Laureth-7, Tribehenin, Xanthan Gum, Phenoxyethanol, Propylene Carbonate, Sorbitan Sesquioleate, Chlorphenesin, Tocopheryl Acetate, Disodium EDTA, Triethoxycaprylylsilane, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, [May Contain +/-: Titanium Dioxide (CI 77891)",6.79,4,109,0.09,"Rimmel"
"CYO Bronzing & Highlighting Palette Shimmer Switch, Lost in Space","","Mica, Silica, Nylon-12, Butylene glycol, Phenoxyethanol, Caprylyl glycol, Aqua (Water), May contain CI 77891 (Titanium dioxide), CI 77491 (Iron oxides), CI 77499 (Iron oxides), CI 77492 (Iron oxides)",5,4,3,0.25,"CYO"
"No7 Skin Illuminator Nude","","Aqua (Water), Glycerin, Isohexadecane, Ethylhexyl Palmitate, Mica, Ethylhexyl Stearate, Sodium Acryloyldimethyl Taurate Copolymer, Sodium Acrylate, Caprylic, Capric Triglyceride, Phenoxyethanol, Saccharide Isomerate, Polysorbate 80, Ethylhexylglycerin, Panthenol, Sorbitan Oleate, Carbomer, Tocopheryl Acetate, Sodium Ascorbyl Phosphate, Citric Acid, Sodium Citrate, Tocopherol, Sodium Hydroxide, +, - May Contain: CI 14700, CI 42090 (Blue 1), CI 77491 (Iron Oxides), CI 77891 (Titanium Dioxide)",12.99,4.9,25,1.01,"No7"
"Milani Smooth Finish Cream-to-Powder Make Up, Medium Beige 07","USA","Dimethicone, Isopropyl Isostearate, Neopentyl Glycol Diethylhexanoate, Tribehenin, Isostearyl Behenate, Silica, Nylon-12, Tridecyl Trimellitate, Talc, Euphorbia Cerifera (Candelilla Cera) Wax, Myristyl Myristate, Polyethylene, Trimethylsiloxysilicate, Sorbitan Trioleate, Tocopheryl Acetate, Isopropyl Titanium Triisostearate, Ethylene/Methacrylate Copolymer, Lauroyl Lysine, Myristyl Laurate, Fragrance (Parfum), Propylparaben, Retinyl Palmitate, Glycine Soja (Soybean) Oil, Myristyl Alcohol, Benzyl Alcohol, Coumarin, Limonene, Benzyl Salicylate, Linalool, Citronellol, Camellia Sinensis Leaf Extract +/- May Contain: Titanium Dioxide (Ci 77891), Ultramarines (Ci 77007), Iron Oxides (Ci 77491, Ci 77492, Ci 77499)",8.99,4.6,194,0.28,"Milani"
"NYX Professional Makeup Glitter Primer","Taiwan","Water (Aqua), Beeswax (Cera Alba), Stearic Acid, Octyldodecanol, PVP, Butyrospermum Parkii Butter (Shea), Butylene Glycol, Acrylates, Octylacrylamide Copolymer, Silica, Aminomethyl Propanol, Tocopheryl Acetate, Jojoba Esters, Tocopherol, Caprylyl Glycol, Phenoxyethanol, May Contain: Mica, Titanium Dioxide (Cl 77891), Iron Oxides (CI 77491, 77492, 77499)",NA,4.8,117,0.33,"NYX"
"Wet n Wild CoverAll Face Primer","USA","Water, Cyclopentasiloxane, Isododecane, Ethylene/Acrylic Acid Copolymer, Methyl Methacrylate Crosspolymer, Butylene Glycol, Decyl Glucoside, Polysilicone-11, Dimethicone, Phenoxyethanol, Triethanolamine, Carbomer, Caprylyl Glycol, Chlorphenesin, Alumina, Hexylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, 3-O-Ethyl Ascorbic Acid",5.29,4.1,95,0.84,"Wet n Wild"
"Wet n Wild Color Icon Collection Bronzer SPF 15, Reserve Your Cabana","China","Octinoxate (5% w/w), Oxybenzone (1.5% w/w)",4.49,NA,95,0.46,"Wet n Wild"
"Maybelline Fit Me Concealer Makeup, Sand 20","","Water, Cyclopentasiloxane, Hydrogenated Polyisobutene, Glycerin, Sorbitan Isostearate, Propylene Glycol, Titanium Dioxide, Ozokerite, Phenoxyethanol, Magnesium Sulfate, Disteardimonium Hectorite, Disodium Stearoyl Glutamate, Methylparaben, Acrylates Crosspolymer, Alumina, Butylparaben, Aluminum Hydroxide, Tocopherol, Silica, Chamomilla Recutita, May Contain (+/-): Titanium Dioxide, Iron Oxides, Mica",6.79,3.9,256,0.23,"Maybelline"
"CYO Matte Pressed Powder Meet Your Matte, FAIR","","Talc, Aluminum starch octenylsuccinate, Isostearyl neopentanoate, Silica, Zinc stearate, Phenoxyethanol, Dimethicone, Methylparaben, Trimethylsiloxysilicate, Ethylparaben, Caprylyl glycol, (May contain) CI 77492 (Iron oxides), CI 77491 (Iron oxides), CI 77499 (Iron oxides)",5,4.1,9,0.51,"CYO"
"No7 Stay Perfect Blemish Cover, Light Medium","Germany","Chalk, PPG 2 Myristyl Ether Propionate, Cetearyl Ethylhexanoate, Zinc Oxide, Paraffin, Cera Microcristallina (Microcrystalline Wax), Isopropyl Myristate, Synthetic Wax, Copernicia Cerifera (Carnauba) Wax, Euphorbia Cerifera (Candelilla) Wax, Tocopheryl Acetate, Rosa Moschata Seed Oil, Butylene Glycol, Water, Polyethylene, Allantoin, BHT, Spiraea Ulmaria Extract, Ascorbyl Palmitate, May Contain: Titanium Dioxide, Iron Oxides",11.99,2.2,49,0.12,"No7"
