"Product","Country","Ingredients","Price","Rev_score","Rev_count","Size","Brand"
"Maybelline Fit Me Dewy + Smooth Foundation Makeup, Natural Beige 220","","Octinoxate 7% (Sunscreen)",7.99,4.3,8383,1,"Maybelline"
"CYO Bronze & Illuminate Compact, Fair/Medium","India","",6,3.3,3,0.33,"CYO"
"Milani Prime Light Pore Minimizer Face Primer","","Water (Aqua), Dimethicone, Neopentyl Glycol Diethylhexanoate, Trisiloxane, Butylene Glycol, Titanium Dioxide (Ci 77891), Mica (Ci 77019), Peg-10 Dimethicone, Glycerin, Pentylene Glycol, Dimethicone Crosspolymer, Dipropylene Glycol, Sorbitan Isostearate, Magnesium Sulfate, Silica, Phenoxyethanol, Disteardimonium Hectorite, Panthenol, Glyceryl Tribehenate/Isostearate/Eicosandioate, Ethylglycerin, Disodium Edta",NA,4.6,16,1,"Milani"
"Maybelline Facestudio Master Chrome Metallic Highlighter Makeup, Molten Gold","","Caprylic/Capric Triglyceride, Bis-Diglyceryl Polyacyladipate-2, Diisostearyl Malate, Phenyl Trimethicone, Dimethicone, Microcrystalline Cellulose, Dimethicone/Vinyl Dimethicone Crosspolymer, Caprylyl Glycol, Ethylhexylglycerin, Synthetic Fluorphlogopite, Sorbic Acid, Sodium Dehydroacetate, Tocopheryl Acetate, Hydrogen Dimethicone, Tocopherol, Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Silica, Tin Oxide, [+/- May Contain: Mica, CI 77891/Titanium Dioxide, CI 77491, CI 77492/Iron Oxides]",9.99,4.6,842,0.24,"Maybelline"
"Rimmel Lasting Finish Breathable Primer, Clear","United Kingdom","AQUA/WATER/EAU, CYCLOPENTASILOXANE, HYDROGENATED POLYDECENE, TALC, CETYL PEG/PPG-10/1DIMETHICONE, PROPYLENE GLYCOL, ALUMINUM STARCH OCTENYLSUCCINATE, MAGNESIUM SULFATE, BIS-PEG/PPG-14/14 DIMETHICONE, DIMETHICONE CROSSPOLYMER, DISTEARDIMONIUM HECTORITE, GLYCERIN, LAURETH-7, TRIBEHENIN, VINYL DIMETHICONE/METHICONE SILSESQUIOXANE CROSSPOLYMER, DIMETHICONOL, PHENOXYETHANOL, SORBITAN SESQUIOLEATE, CHLORPHENESIN, PROPYLENE CARBONATE, XANTHAN GUM, TOCOPHERYL ACETATE, DISODIUM EDTA, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, MICA, TITANIUM DIOXIDE (CI 77891), ULTRAMARINES (CI 77007)",6.99,4.7,3,1,"Rimmel"
"e.l.f. Mineral Infused Face Primer, Brightening Lavender","China","Cyclopentasiloxane, Dimethicone Crosspolymer, Cyclohexasiloxane, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Silica Dimethyl Silylate, Silica May Contain: Manganese Violet (CI 77742), Ultramarines (CI 77007), Titanium Dioxide (CI 77891)",NA,3.6,35,0.49,"e.l.f."
"No7 Stay Perfect Foundation, Cool Ivory","France","Aqua (Water), Caprylyl Methicone, Phenyl Trimethicone, Boron Nitride, PEG-9 Dimethicone, Mica, Talc, Disteardimonium Hectorite, Butylene Glycol, Bis-Isobutyl PEG/PPG-10/7 Dimethicone Copolymer, Trimethylsiloxysilicate, Magnesium Sulfate, Phenoxyethanol, Polypropylsilsesquioxane, Triethyl Citrate, Panthenol, Methylparaben, Tocopheryl Acetate, Aluminum Hydroxide, Ethylparaben, Stearic Acid, Triethoxycaprylylsilane, PEG/PPG Dimethylallylether, Sodium Hyaluronate, Tetrasodium EDTA, Isopropyl Palmitate, Lecithin, Tocopherol, BHT, CI 77891 (Titanium Dioxide), CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides)",15.99,5,1,1,"No7"
"Maybelline Instant Age Rewind Eraser Treatment Makeup, Buff Beige","","Octinoxate 7.5% (Sunscreen)",10.89,3.7,142,0.68,"Maybelline"
"Physicians Formula Butter Highlighter, Rose Gold","United States","",11.49,5,1,1,"Physicians"
"Almay Smart Shade Concealer SPF 15, Light","U.S.A.","Aqua ((Water) Eau), Cyclopentasiloxane, Dimethicone, Tribehenin, PEG-9 Polydimethylsiloxyethyl Dimethicone, Phenyl Trimethicone, Glycerin, Boron Nitride Trimethylsiloxysilicate, Disteardimonium Hectorite, Dimethicone/PEG-10/15 Crosspolymer, Butylene Glycol, Nylon-12, Sodium Chloride, Ginkgo Biloba Leaf Extract, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Niacinamide, Sodium Hyaluronate, Hydrolyzed Glycosaminoglycans, Centaurea Cyanus Flower Extract, Vitis Vinifera (Grape) Seed Extract, Melanin, Aloe Barbadensis Leaf Juice, Polyester-1, Polyglyceryl-3 Diisostearate, Xanthan Gum, Triethoxycaprylylsilane, Crosspolymer, Dimethiconol, Cilica Dimethyl Silylate, Methicone, Tetrasodium EDTA, Maltodextrin, Dipropylene Glycol, Sodium Citrate, Tocopherol, Propylene Glycol, Phenoxyethanol, Methylparaben, Ethylparaben. May Contain, [+/-: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492M 77499)]. 24046",9.99,5,3,0.37,"Almay"
"Neutrogena Hydro Boost Concealer, Fair","","Dimethicone, Isotridecyl Isononanoate, Triethylhexanoin, Water, Ceresin, Polyethylene, Methyl Methacrylate Crosspolymer, Diisostearyl Malate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Isononyl Isononanoate, Euphorbia Cerifera (Candelilla) Wax, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Caprylic/Capric Triglyceride, Ozokerite, Glycerin, Isododecane, Silica, PEG-9 Polydimethylsiloxyethyl Dimethicone, Helianthus Annuus (Sunflower) Seed Wax, Acrylates/Dimethicone Copolymer, Jojoba Esters, Dimethicone/PEG-10/15 Crosspolymer, Phenoxyethanol, Caprylyl Glycol, Sodium Hyaluronate, Potassium Sorbate, Hexylene Glycol, Tocopherol, Ascorbyl Palmitate, Titanium Dioxide, Iron Oxides, Mica",14.99,4.4,396,0.12,"Neutrogena"
"IMAN Luxury Pressed Powder, Clay Medium","China","Talc, Polymethyl Methacrylate, Zinc Stearate, Phenyl Trimethicone, Phenoxyethanol, Caprylyl Glycol, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Manganese Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Silicon Ferment, Theobaoma Cacao (Cocoa) Fruit Powder, Tocopheryl Acetate, Silica, May Contain: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140)",15.99,4.8,31,0.35,"IMAN"
"Revlon PhotoReady Color Correcting Pens, For Under-Eye Circles and Dark Spots","United States","Aqua/Water/Eau, Dimethicone, Isododecane, Trisiloxane, Peg/Ppg-18/18 Dimethicone, Boron Nitride, Butylene Glycol, Trimethylsiloxysilicate, Bis-Peg/Ppg-14/14 Dimethicone, Methyl Methacrylate Crosspolymer, Phenyl Trimethicone, Sodium Chloride, Tribehenin, Glycerin, Isodecyl Neopentanoate, Cyclopentasiloxane, Disteardimonium Hectorite, Silica Silylate, Silica, Dimethicone/Bis-Isobutyl Ppg-20 Crosspolymer, Triethoxycaprylylsilane, Methicone, CalcIum Aluminum Borosilicate, Propylene Carbonate, Sorbitan Sesquioleate, Tocopheryl Acetate, Hydrogen Dimethicone, Methoxy Amodimethicone/Silsesquioxane Copolymer, Tetrasodium EDTA, Phenoxyethanol, Caprylyl Glycol, 1,2-Hexanediol, Titanium Dioxide (CI 77891), Mica, Ultramarines (CI 77007), Chromium Oxide Greens (CI 77288), Iron Oxides (CI 77491, 77492, 77499)",9.99,4.3,618,0.08,"Revlon"
"Revlon Perfecting Skin Primer Cream 001","","Dimethicone, Isododecane, Aqua ((Water) Eau), Trisiloxane, PEG/PPG-19/19 Dimethicone, Isodecyl Neopentanoate, C13-16 Isoparaffin, Silica Silylate, C10-13 Isoparaffin, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Silica, Tocopherol, Glycerin, Methyl Methacrylate Crosspolymer, Methicone, Calcium Aluminum Borosilicate, Triethoxycaprylylsilane, Phenoxyethanol, Caprylyl Glycol, 1,2-Hexanediol. May Contain, [+/-: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Ultramarines (CI 77007)]",12.49,4.4,1270,0.91,"Revlon"
"Neutrogena SkinClearing Mineral Powder, Classic Ivory","","Salicylic Acid - 0.5 %",14.49,4,184,0.34,"Neutrogena"
"Sleek MakeUP Highlighting Palette, Solstice","China","",14.99,4.3,107,0.31,"Sleek"
"Wet n Wild Mattifying Powder, Matte About You","China","Silica, Cetearyl Ethylhexanoate, Synthetic Fluorphlogopite, Ethyl Macadamiate, Glycerin, Polysorbate 80, Phenoxyethanol, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Chondrus Crispus, O-Cymen-5-Ol, Xanthan Gum, Titanium Dioxide/Ci 77891",4.99,4.5,4,0.21,"Wet n Wild"
"Neutrogena Healthy Skin Anti-Aging Perfector, Ivory to Fair","","Octinoxate - 7 %, Octisalate - 3 %",14.49,4.7,281,1,"Neutrogena"
"CoverGirl Clean Sensitive Skin Liquid Foundation, Buff Beige","USA","Water/Eau, Cyclopentasiloxane, Propylene Glycol, Dimethicone, Talc, Glycerin, Cetyl Ethylhexanoate, PEG/PPG-18/18 Dimethicone, Sodium Chloride, Phenoxyethanol, Laureth-7, Silica, Trihydroxystearin, Arachidyl Behenate, Methicone, Caprylyl Glycol, 1,2-Hexanediol, Sodium Benzoate, Synthetic Wax, Mica, Ethylene Brassylate, Behenic Acid, Polyethylene, Barium Sulfate, May Contain/Peut Contenir: Titanium Dioxide, Iron Oxides",8.29,3.8,182,1,"CoverGirl"
"IMAN Perfect Response Oil Blotting Pressed Powder, Deep","USA","Talc, Polymethyl Methacrylate, Zinc Stearate, Phenyl Trimethicone, Phenoxyethanol, Caprylyl Glycol, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Silk Powder, Saccharomyces/Zinc Ferment, Saccharomyces/Copper Ferment, Saccharomyces/Manganese Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Silicon Ferment, Kaolin, Oryza Sativa (Rice) Starch, May Contain:Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Yellow 5 Lake (Ci 19140)",15.99,4.8,17,0.4,"IMAN"
"IMAN Second to None Cream To Powder Foundation, Earth 4","USA","Caprylic/Capric Triglyceride, Talc, Octyldodecanol, Hydrogenated Polydecene, Polyethylene, Peg-4 Diheptanoate, Kaolin, Silica, Polymethyl Methacrylate, Microcrystalline Wax, Zinc Oxide, Nylon-12, Phenoxyethanol, Copernicia Cerifera (Carnauba) Wax, Caprylyl Glycol, Tocopheryl Acetate, Sorbitan Sesquioleate, Retinyl Palmitate, Saccharum Officinarum(Sugar Cane) Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Fruit Extract, Jojoba Esters, Tocopherol, Glycine Soja (Soybean) Oil, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Extract, Coco Nucifera (Coconut) Oil, Mineral Oil, May Contain:Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Zinc Oxide(Ci 77947), Ultramarines( Ci 77007)",16.49,4.8,26,0.35,"IMAN"
"Wet n Wild MegaGlo Makeup Sticks, Call Me Maple","China","Methyl Methacrylate Crosspolymer, Cetearyl Ethylhexanoate, Cetyl Ethylhexanoate, Dimethicone, Polyethylene, Dipentaerythrityl Hexa C5-9 Acid Esters, Neopentyl Glycol Diheptanoate, Hydrogenated Coco-Glycerides, Ozokerite, Talc, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Microcrystalline Wax/Cire Microcrystalline, Pentaerythrityl Tetraethylhexanoate, Ceresin, Phytosteryl Macadamiate, Cetyl PEG/PPG-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Hexyl Laurate, Phenoxyethanol, Sorbic Acid, Tocopheryl Acetate, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopherol, [+/- (May Contain), Titanium Dioxide/CI 77891, Mica, Iron Oxides/CI 77491, CI 77492, CI 77499]",4.29,4.5,8,0.26,"Wet n Wild"
"Physicians Formula Spotlight Illuminating Primer, Glow","United States","Water/Eau, Dodecane, Ethylhexyl Palmitate, Glycerin, Brassica Campestris/Aleurites Fordi Oil Copolymer, Synthetic Fluorphlogopite, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polymethylsilsesquioxane, Glyceryl Stearate, Peg-100 Stearate, Polyisobutene, Phenoxyethanol, Caprylyl Glycol, Ethylene Brassylate, Panthenol, Ethylhexylglycerin, Hexylene Glycol, Peg-7 Trimethylolpropane Coconut Ether, Tocopheryl Acetate, Disodium Edta, Sorbitan Isostearate, Retinyl Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Tin Oxide, Tocopherol, Carmine (Ci 75470), Iron Oxides (Ci 77491), Mica, Titanium Dioxide (Ci 77891)",NA,4.1,16,1,"Physicians"
"Wet n Wild Photo Focus Stick Foundation, Porcelain","CHINA","Isononyl Isononanoate, Dipentaerythrityl Hexa C5-9 Acid Esters, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Silica, Ethylhexyl Palmitate, Polyglyceryl-10 Decaisostearate, Polyglyceryl-2 Triisostearate, Polyethylene, Caprylic/Capric Triglyceride, Synthetic Wax, Hydrogenated Microcrystalline Wax, Copernicia Cerifera (Carnauba) Wax/Cire de carnauba, Microcrystalline Wax/Cire microcrystalline, Dimethicone/Vinyl Dimethicone Crosspolymer, Euphorbia Cerifera (Candelilla) Wax/Cire de Candelilla, Hydrogenated Styrene/Methyl Styrene/Indene Copolymer, Triethoxycaprylylsilane, Astrocaryum Murumuru Seed Butter, Phytosteryl Macadamiate, Sorbic Acid, Phenoxyethanol, Helianthus Annuus (Sunflower) Seed Oil, Passiflora Edulis Seed Oil, Tocopherol, Schinziophyton Rautanenii Kernel Oil, Macadamia Integrifolia Seed Oil, Argania Spinosa Kernel Oil, Cocos Nucifera (Coconut) Oil, Glycine Soja (Soybean) Oil, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Iron Oxides/CI 77491; CI 77492; CI 77499",6.29,4.5,2,1,"Wet n Wild"
"Neutrogena Healthy Skin Enhancer Tinted Moisturizer, Fair to Light","","Octinoxate - 7 %, Octisalate - 3 %, Titanium Dioxide - 5.1 %",12.99,4.4,203,1,"Neutrogena"
"L'Oreal Paris True Match Super-Blendable Makeup Powder, Nude Beige W3","","Talc, Zea Mays (Corn), Dimethicone, Zinc Stearate, Pentaerythrityl Tetraisostearate, Octyldodecyl Stearoyl Stearate, Zeolite, Sorbic Acid (A Preservative), Methylparaben, Propylparaben, Tocopheryl Acetate (Vitamin E), Tetrasodium EDTA, Butylparaben, BHT, Panthenol, May Contain (+/-): Iron Oxides, Titanium Dioxide (CI 77891), Mica, Ultramarines (CI 77007), Red 7 Lake (CI 15850)",10.79,4.3,167,0.33,"L'Oreal"
"NYX Professional Makeup HD Studio Photogenic Finishing Powder Translucent Finish","China","Silica",NA,3,351,0.21,"NYX"
"Neutrogena Healthy Skin Blends Natural Radiance Bronzer, Sunkissed","","Octyldodecyl Stearoyl Stearate, Polyethylene, Hdi/Trimethylol Hexyllactone Crosspolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Lauroyl Lysine, Squalane, Cetearyl Ethylhexanoate, Silica, Trimethylsiloxysilicate, Ascorbyl Palmitate, Carthamus Tinctorius (Safflower) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Polyhydroxystearic Acid, Polyglyceryl-3 Polyricinoleate, Sodium Dehydroacetate, Also May Contain: Mica, Titanium Dioxide, Iron Oxides, Yellow 5 Lake, Red 30 Lake, Carmine, Ultramarines, Red 28 Lake, Red 6, Red 7",12.79,4.6,219,0.3,"Neutrogena"
"e.l.f. Contour Palette","","Mica, Talc, Ethyhexyl Palmitate, Silica, Nylon-12, Ptfe, Zinc Stearate, Dimethicone, Tocopheryl Acetate (Ve), May Contain Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499, Manganese Violet (CI 77742)",NA,4.1,376,0.56,"e.l.f."
"e.l.f. Studio Under Eye Concealer & Highlighter, Glow/Fair","China","Water (Aqua), Hydrogenated Polyisobutene, Isododecane, Propylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Caprylic/Capric Triglyceride, Polyglyceryl-4 Isostearate, Phenoxyethanol, Quaternium-18 Bentonite, Magnesium Sulfate, Retinyl Palmitate (Va), Tocopheryl Acetate (Ve), Caprylyl Glycol, Ethylhexylglycerin, Camellia Sinensis (Green Tea) Leaf Extract, Butylene Glycol May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492), Red 40 (CI 16035)",NA,3.9,715,1,"e.l.f."
"Wet n Wild MegaGlo Liquid Highlighter, Halo Gorgeous","CHINA","Isododecane, Caprylyl Methicone, Cetyl Ethylhexanoate, Alumina, Isohexadecane, Triethoxycaprylylsilane, Dextrin Palmitate, Dimethicone, Glyceryl Behenate/Eicosadioate, Silica, Butylene Glycol Dicaprylate/Dicaprate, Synthetic Wax, Trioctyldodecyl Citrate, Methyl Methacrylate Crosspolymer, Phytosteryl Macadamiate, Phenoxyethanol, Astrocaryum Murumuru Seed Butter, Helianthus Annuus (Sunflower) Seed Oil, Sorbic Acid, Vitis Vinifera (Grape) Seed Oil, Disiloxane, o-Cymen-5-ol, Tocopheryl Acetate, Tocopherol, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Tin Oxide, Isoeicosane, Glycine Soja (Soybean) Oil, Carmine/CI 75470, Mica, Iron Oxides/CI 77491, CI 77499, Titanium Dioxide/CI 77891",6.29,5,1,1,"Wet n Wild"
"CoverGirl Full Spectrum Sculpt Expert Bronzer, Ebony","United States","TALC, MICA, OCTYLDODECYL STEAROYL STEARATE, C10-18 TRIGLYCERIDES, DIMETHICONE, PTFE, CYCLOHEXASILOXANE, SILICA, METHYLPARABEN, METHICONE, SODIUM DEHYDROACETATE, PROPYLPARABEN, DIMETHICONE/SILSESQUIOXANE COPOLYMER, TIN OXIDE, HYDROGENATED LECITHIN, MAY CONTAIN/PEUT CONTENIR/+/-: TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77491, CI 77492, CI 77499)",NA,NA,1,0.39,"CoverGirl"
"Physicians Formula Mineral Wear Correcting Powder, Translucent 7037","Japan","Mica, Boron Nitride, Mineral Oil, Aluminum Distearate, Petrolatum, Tocopherol, Phenoxyethanol. May Contain: Titanium Dioxide, Iron Oxides, Carmine, Ultramarines",NA,4.9,10,0.29,"Physicians"
"Maybelline Fit Me Loose Finishing Powder, Medium","","Talc, Dimethicone, Silica, [+/- May Contain: CI 77891/Titanium Dioxide, CI 77491, CI 77492, CI 77499/Iron Oxides]",7.99,4.3,248,0.7,"Maybelline"
"Almay Smart Shade Concealer Makeup, Light/Medium","U.S.A.","Aqua, Water, Eau, Cyclopentasiloxane, Dimethicone, Tribehenin, Peg-9 Polydimethylsiloxyethyl Dimethicone, Phenyl Trimethicone, Glycerin, Boron Nitride, Trimethylsiloxysilicate, Disteardimonium Hectorite, Dimethicone/Peg-10/15 Crosspolymer, Butylene Glycol, Nylon-12, Sodium Chloride, Ginko Biloba Leaf Extract, Panax Ginseng Root Extract, Camellia Sinensis Leaf Extract, Tocopheryl Acetate, Niacinamide, Sodium Hyaluronate, Hydrolyzed Glycosaminoglycans, Centaurea Cyanus Flower Extract, Vitis Vinifera (Grape) Seed Extract, Melanin, Aloe Barbadensis Leaf Juice, Polyester-1, Polyglyceryl-3 Diisostearate, Xanthan Gum, Triethoxycaprylysilane, Dimethicone Crosspolymer, Dimethiconol, Silica Dimethyl Silylate, Methicone, Tetrasodium Edta, Maltodextrin, Dipropylene Glycol, Sodium Citrate, Tocopherol, Propylene Glycol, Phenoxyethanol, Methylparaben, Ethylparaben, May Contain, [+/-: Mica, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, 77492, 77499)]",9.99,2.7,12,0.37,"Almay"
"e.l.f. Studio Mineral Infused Face Primer","China","Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone Crosspolymer, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Silica, Silica Dimethyl Silylate, Phenoxyethanol<Br/>May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Red 40 Lake (CI 16035), Blue 1 Lake (CI 42090), Ultramarines (CI 77007), Chromium Oxide Greens (CI 77288), Tin Oxide (CI 77861)",NA,4.1,2111,0.49,"e.l.f."
"e.l.f. Blemish Control Primer","","Salicylic Acid 2%",NA,3.5,187,0.47,"e.l.f."
"Vichy Dermafinish High Coverage Foundation with Sunscreen SPF 30, Opal 15","","Titanium Dioxide (15.6752%, Sunscreen)",30,4.8,17,1,"Vichy"
"Maybelline Facestudio Master Fix Setting + Perfecting Loose Powder Translucent","","Talc, Silica, Dimethicone",9.99,4,30,0.21,"Maybelline"
"Revlon ColorStay Pressed Powder Translucent","the USA","Talc, Mica, Bismuth Oxychloride, Zinc Stearate, Dimethicone, Silica, Nylon-12, Polymethyl Methacrylate, Polyethylene, Octyldodecyl Neopentanoate, Lecithin, Cymbidium Grandiflorum (Orchid) Flower Extract, Serica ((Silk) Soie), Malva Sylvestris (Mallow) Extract, Lilium Candidum Bulb Extract, Lactobacillus/Eriodictyon Californicum Ferment Extract, Lauroyl Lysine, Dimethiconol, Cyclopentasiloxane, Dimethicone/Silsesquioxane Copolymer, Phenoxyethanol, Sorbic Acid, Iron Oxides (CI 77491, 77492, 77499)",10.99,3.8,24,0.3,"Revlon"
"CoverGirl Clean Matte BB Cream, Light/Medium","USA","Water, Cyclopentasiloxane, Propylene Glycol, Talc, Dimethicone, Aluminum Starch Octenylsuccinate, Sodium Chloride, PEG/PPG-18/18 Dimethicone, PVP, Silica, Benzyl Alcohol, Phenoxyethanol, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Trihydroxystearin, Arachidyl Behenate, Methicone, Sodium Benzoate, Synthetic Wax, Hexyl Laurate, Cetyl PEG/PPG-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Isopropyl Titanium Triisostearate, Ethylene Brassylate, Behenic Acid, Polyethylene, May Contain (+/-): Titanium Dioxide, Iron Oxides",8.99,4.3,1684,1,"CoverGirl"
"Revlon Liquid Makeup SPF 6, True Beige","USA","Titanium Dioxide - 4.3 %, Zinc Oxide - 2.1 %",13.99,4.4,125,1,"Revlon"
"Physicians Formula Concealer, Cover Green 673","USA","Carthamus Tinctorius (Safflower) Seed Oil , Tridecyl Stearate, Neopentyl Glycol Dicaprylate/Dicaprate, Ozokerite, Isopropyl Lanolate, Beeswax, Tridecyl Trimellitate, Kaolin, Diethylhexyl Adipate, Ethylhexyl Stearate, Ethylhexyl Palmitate, Ascorbyl Palmitate, BHT, Canola Oil Glyceride, Cetearyl Ethylhexanoate, Citric Acid, Propylene Glycol , TBHQ, Zea Mays (Corn) Oil, Zeolite, Propylparaben, May Contain (+/-):, Titanium Dioxide, Chromium Oxide Green, Iron Oxides, Talc, Ultramarines",7.49,NA,125,0.15,"Physicians"
"Physicians Formula Mineral Wear Powder Compact, Creamy Natural 2413","USA","Titanium Dioxide (6.0%), Zinc Oxide (4.2%)",14.99,4.6,14,0.3,"Physicians"
"CoverGirl Aqua Smooth Compact Solid Foundation, SPF 15, Creamy Natural","USA","Titanium Dioxide - 9 %",10.49,3.5,131,0.4,"CoverGirl"
"Maybelline City Bronzer Bronzer and Contour Powder, 100","United States","TALC, PERLITE, DIMETHICONE, ISONONYL ISONONANOATE, MAGNESIUM STEARATE, CAPRYLYL GLYCOL, SYNTHETIC FLUORPHLOGOPITE, PARFUM / FRAGRANCE, THEOBROMA CACAO SEED BUTTER / COCOA SEED BUTTER, MAY CONTAIN CI 77491, CI 77492, CI 77499 / IRON OXIDES, MICA, CI 77891 / TITANIUM DIOXIDE",9.99,4.4,359,0.32,"Maybelline"
"e.l.f. Baked Highlighter, Apricot Glow","China","",NA,3.7,822,0.18,"e.l.f."
"Wet n Wild MegaGlo Illuminating Palette, Catwalk Pink","China","Synthetic Fluorphlogopite, Talc, Nylon-12, Magnesium Myristate, Ethyl Macadamiate, Dimethicone, Polybutene, Trimethylsiloxysilicate, Phenoxyethanol, Lauroyl Lysine, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Tocopherol, O-Cymen-5-Ol, [+/- (May Contain/Peut Contenir): Mica, Titanium Dioxide/Ci 77891, Iron Oxides/Ci 77491, Manganese Violet/Ci 77742, Red 40 Lake/Ci 16035, Ultramarines/Ci 77007, Carmine/Ci 75470]",5.29,4.3,9,0.4,"Wet n Wild"
"L'Oreal Paris Infallible Pro-Glow Foundation, Creme Cafe","","Octinoxate 3.2% (Sunscreen)",11.79,4.3,343,1,"L'Oreal"
"Milani Conceal + Perfect Shine-Proof Powder, Beige","United States","",NA,4.8,61,0.42,"Milani"
"Almay Smart Shade CC Primer, SPF 15 Lift","USA","Titanium Dioxide - 4.3 %, Zinc Oxide - 3.3 %",11.49,4.5,2,1,"Almay"
"Revlon PhotoReady Concealer Makeup, Light 002","the USA","Octinoxate (7.5%, Ethylhexyl Methoxycinnamate), Titanium Dioxide (7.5%), Zinc Oxide (2.45%)",10.79,4.3,342,0.11,"Revlon"
"L'Oreal Paris True Match Lumi Glotion Natural Glow Enhancer, 901 Fair Glow","","Aqua (Water), Glycerin, Cyclohexasiloxane, Alcohol Denat., Butyrospermum Parkii Butter (Shea Butter), Dimethicone, Ammonium Polyacryloyldimethyl Taurate, CI 77891 (Titanium Dioxide), Synthetic Fluorphlogopite, Polyglyceryl-6 Distearate, Mica, Polysilicone-11, Phenoxyethanol, Pentaerythrityl Tetraethylhexanoate, Jojoba Esters, Capryloyl Salicylic Acid, Caprylyl Glycol, Sodium Citrate, Polyacrylamide, CI 77491 (Iron Oxides), Boron Nitride, Polyglyceryl-3 Beeswax, Cetyl Alcohol, C13-14 Isoparaffin, Adenosine, Disodium EDTA, Citric Acid, Laureth-7, Tin Oxide, Triethoxysilylethyl Polydimethylsiloxyethyl Dimethicone, Isopropyl Titanium Triisostearate, Alumina",14.99,4.4,424,1.35,"L'Oreal"
"NYX Professional Makeup Wonder Pencil, Medium","Germany","Ricinus Communis (Castor) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Caprylic/Capric Triglyceride, Euphorbia Cerifera (Candelilla) Wax/Euphorbia Cerifera Cera, Mica, Hydrogenated Coconut Oil, Vp/Hexadecene Copolymer, Hydrogenated Castor Oil, Polyglyceryl-3 Diisostearate, Sorbitan Palmitate, Beeswax/Cera Alba, Copernicia Cerifera (Carnauba) Wax/Copernicia Cerifera Cera, Paraffin, Hydroxylated Lanolin, Microcrystalline Wax/Microcristallina Cera, Octyldodecanol, Stearalkonium Hectorite, Propylene Carbonate, Tocopherol, Ascorbyl Palmitate, May Contain: Titanium Dioxide (77891), Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Iron Oxide Black (CI 77499)",4.49,4.6,154,0.04,"NYX"
